impact,id,description,help,helpUrl,tags,html,target,failureSummary
moderate,heading-order,"Ensure the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI","cat.semantics;best-practice","<h3>Introduction &amp; Scope</h3>","h3:nth-child(1)","Fix any of the following:\n  Heading order invalid"
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img width=\"120\" height=\"120\" src=\"/themes/nect-theme/img/NSF_logo.svg\">","img[width=\"120\"]","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
moderate,landmark-one-main,"Ensure the document has a main landmark","Document should have one main landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI","cat.semantics;best-practice","<html lang=\"en\" dir=\"ltr\" class=\" js\">","html","Fix all of the following:\n  Document does not have a main landmark"
moderate,landmark-unique,"Ensure landmarks are unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI","cat.semantics;best-practice","<nav class=\"navbar navbar-expand secondary-nav navbar-light bg-light \" id=\"secondaryNav\">","#secondaryNav","Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://connect.cyberinfrastructure.org/contact/connect_ci\">online form</a>","p:nth-child(23) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"http://geekfeminism.wikia.com/wiki/Conference_anti-harassment/Policy\">Geek Feminism wiki</a>","p:nth-child(25) > a:nth-child(1)","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://creativecommons.org/share-your-work/public-domain/cc0/\">Creative Commons Zero license</a>","p:nth-child(25) > a:nth-child(2)","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"http://contributor-covenant.org/version/1/2/0/\">Contributor Covenant version 1.2.0</a>","p:nth-child(25) > a:nth-child(3)","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://github.com/bokeh/bokeh/blob/master/CODE_OF_CONDUCT.md\">Bokeh Code of Conduct</a>","p:nth-child(25) > a:nth-child(4)","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://github.com/jupyter/governance/blob/master/conduct/enforcement.md\">SciPy Code of Conduct</a>","p:nth-child(25) > a:nth-child(5)","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://docs.carpentries.org/topic_folders/policies/code-of-conduct.html#enforcement-manual\">Carpentries Code of Conduct</a>","p:nth-child(25) > a:nth-child(6)","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://nips.cc/public/CodeOfConduct\">NeurIPS Code of Conduct</a>","a:nth-child(7)","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://creativecommons.org/licenses/by/3.0/\">Creative Commons Attribution 3.0 Unported License</a>","p:nth-child(26) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-name,"Ensure links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI","cat.name-role-value;wcag2a;wcag244;wcag412;section508;section508.22.a;TTv5;TT6.a;EN-301-549;EN-9.2.4.4;EN-9.4.1.2;ACT","<a class=\"nsf-logo\" href=\"https://www.nsf.gov/\" target=\"_blank\" rel=\"noopener\">\n              <img width=\"120\" height=\"120\" src=\"/themes/nect-theme/img/NSF_logo.svg\">\n            </a>",".nsf-logo","Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div id=\"block-ood-page-title\">","#block-ood-page-title","Fix any of the following:\n  Some page content is not contained by landmarks"
