impact,id,description,help,helpUrl,tags,html,target,failureSummary
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#Admin and Support\" class=\"block font-base font-semibold leading-tight py-2 text-white-er no-underline hover--underline hover--text-light-teal\">Admin and Support</a>","a[href$=\"#Admin and Support\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#AI/ML\" class=\"block font-base font-semibold leading-tight py-2 text-white-er no-underline hover--underline hover--text-light-teal\">AI/ML</a>","a[href$=\"#AI/ML\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#Analysis and Algorithms\" class=\"block font-base font-semibold leading-tight py-2 text-white-er no-underline hover--underline hover--text-light-teal\">Analysis and Algorithms</a>","a[href$=\"#Analysis and Algorithms\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#Cloud\" class=\"block font-base font-semibold leading-tight py-2 text-white-er no-underline hover--underline hover--text-light-teal\">Cloud</a>","a[href$=\"#Cloud\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#Data Storage\" class=\"block font-base font-semibold leading-tight py-2 text-white-er no-underline hover--underline hover--text-light-teal\">Data Storage</a>","a[href$=\"#Data Storage\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#Domain Tools\" class=\"block font-base font-semibold leading-tight py-2 text-white-er no-underline hover--underline hover--text-light-teal\">Domain Tools</a>","a[href$=\"#Domain Tools\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#Gateways and Portals\" class=\"block font-base font-semibold leading-tight py-2 text-white-er no-underline hover--underline hover--text-light-teal\">Gateways and Portals</a>","a[href$=\"#Gateways and Portals\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#Linux and Shell Scripting\" class=\"block font-base font-semibold leading-tight py-2 text-white-er no-underline hover--underline hover--text-light-teal\">Linux and Shell Scripting</a>","a[href=\"#Linux and Shell Scripting\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#NSF ACCESS\" class=\"block font-base font-semibold leading-tight py-2 text-white-er no-underline hover--underline hover--text-light-teal\">NSF ACCESS</a>","a[href$=\"#NSF ACCESS\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#NSF ACCESS Resources\" class=\"block font-base font-semibold leading-tight py-2 text-white-er no-underline hover--underline hover--text-light-teal\">NSF ACCESS Resources</a>","a[href$=\"#NSF ACCESS Resources\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
