impact,id,description,help,helpUrl,tags,html,target,failureSummary
critical,aria-allowed-attr,"Ensure an element's role supports its ARIA attributes","Elements must only use supported ARIA attributes","https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axeAPI","cat.aria;wcag2a;wcag412;EN-301-549;EN-9.4.1.2","<fieldset data-drupal-selector=\"edit-recur-type\" aria-describedby=\"edit-recur-type--wrapper--description\" id=\"edit-recur-type--wrapper\" class=\"fieldgroup form-composite required js-form-item form-item js-form-wrapper form-wrapper\" required=\"required\" aria-required=\"true\">","#edit-recur-type--wrapper","Fix all of the following:\n  ARIA attribute is not allowed: aria-required=\"true\""
critical,aria-allowed-attr,"Ensure an element's role supports its ARIA attributes","Elements must only use supported ARIA attributes","https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axeAPI","cat.aria;wcag2a;wcag412;EN-301-549;EN-9.4.1.2","<fieldset data-drupal-selector=\"edit-field-event-type\" id=\"edit-field-event-type--wrapper\" class=\"fieldgroup form-composite required js-form-item form-item js-form-wrapper form-wrapper\" required=\"required\" aria-required=\"true\">","#edit-field-event-type--wrapper","Fix all of the following:\n  ARIA attribute is not allowed: aria-required=\"true\""
serious,aria-prohibited-attr,"Ensure ARIA attributes are not prohibited for an element's role","Elements must only use permitted ARIA attributes","https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=axeAPI","cat.aria;wcag2a;wcag412;EN-301-549;EN-9.4.1.2","<div aria-live=\"polite\" aria-label=\"Bot response updates\" class=\"sr-only\" id=\"bot-live-region\"></div>","#qa-bot,#bot-live-region","Fix all of the following:\n  aria-label attribute cannot be used on a div with no valid role attribute."
minor,empty-table-header,"Ensure table headers have discernible text","Table header text should not be empty","https://dequeuniversity.com/rules/axe/4.10/empty-table-header?application=axeAPI","cat.name-role-value;best-practice","<th></th>","#field-event-speakers-values > thead > tr > th:nth-child(2)","Fix any of the following:\n  Element does not have text that is visible to screen readers"
minor,empty-table-header,"Ensure table headers have discernible text","Table header text should not be empty","https://dequeuniversity.com/rules/axe/4.10/empty-table-header?application=axeAPI","cat.name-role-value;best-practice","<th></th>","#field-affinity-group-node-values > thead > tr > th:nth-child(2)","Fix any of the following:\n  Element does not have text that is visible to screen readers"
moderate,heading-order,"Ensure the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI","cat.semantics;best-practice","<h4 class=\"label form-required mt-4\">Summary</h4>","#field-summary-replace > .mt-4.form-required","Fix any of the following:\n  Heading order invalid"
moderate,landmark-main-is-top-level,"Ensure the main landmark is at top level","Main landmark should not be contained in another landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-main-is-top-level?application=axeAPI","cat.semantics;best-practice","<main role=\"main\" aria-label=\"Chat interface\">","#qa-bot,main[aria-label=\"Chat interface\"]","Fix any of the following:\n  The main landmark is contained in another landmark."
moderate,landmark-no-duplicate-main,"Ensure the document has at most one main landmark","Document should not have more than one main landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-no-duplicate-main?application=axeAPI","cat.semantics;best-practice","<main role=\"main\" class=\"\">","main","Fix any of the following:\n  Document has more than one main landmark"
moderate,landmark-unique,"Ensure landmarks are unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI","cat.semantics;best-practice","<nav class=\"menu universal\">","#universal-menus,.universal","Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"container\">","#header,.container","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"#main-content\" class=\"visually-hidden focusable skip-link\">\n      Skip to main content\n    </a>",".focusable","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div id=\"toolbar-administration\" role=\"group\" aria-label=\"Site administration toolbar\" data-drupal-claro-processed-toolbar=\"\" class=\"toolbar claro-toolbar toolbar-oriented\" data-once=\"toolbar toolbarAntiFlicker\">","#toolbar-administration","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"container prose\">",".layout-container > .prose.container","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"container\">","#footer,.container","Fix any of the following:\n  Some page content is not contained by landmarks"
