impact,id,description,help,helpUrl,tags,html,target,failureSummary
serious,aria-prohibited-attr,"Ensure ARIA attributes are not prohibited for an element's role","Elements must only use permitted ARIA attributes","https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=axeAPI","cat.aria;wcag2a;wcag412;EN-301-549;EN-9.4.1.2","<div aria-live=\"polite\" aria-label=\"Bot response updates\" class=\"sr-only\" id=\"bot-live-region\"></div>","#qa-bot,#bot-live-region","Fix all of the following:\n  aria-label attribute cannot be used on a div with no valid role attribute."
moderate,heading-order,"Ensure the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI","cat.semantics;best-practice","<h3 class=\"text-white mt-0\">Search ACCESS</h3>",".bg-dark-teal.p-5:nth-child(1) > .mt-0.text-white","Fix any of the following:\n  Heading order invalid"
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img class=\"not-prose block h-16\" src=\"/themes/contrib/asp-theme/images/icons/ACCESS-arrrow.svg\">",".border-orange > .h-16.not-prose","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img class=\"not-prose block h-16\" src=\"/themes/contrib/asp-theme/images/icons/vlc.svg\">",".border-dark-teal.hover--border-orange.group:nth-child(2) > .h-16.not-prose","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img class=\"not-prose block h-16\" src=\"/themes/contrib/asp-theme/images/icons/ara.svg\">",".border-dark-teal.hover--border-orange.group:nth-child(3) > .h-16.not-prose","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img class=\"w-20  mb-2 md--mx-auto not-prose\" src=\"/themes/contrib/asp-theme/images/icons/ico-documentation.svg\">",".md--flex-col > .w-20.md--mx-auto.not-prose","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img class=\"w-20 mb-2 md--mx-auto not-prose\" src=\"/themes/contrib/asp-theme/images/icons/askci.svg\">",".md-items-center > .w-20.md--mx-auto.not-prose","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img class=\"w-20 mb-2 md--mx-auto not-prose\" src=\"/themes/contrib/asp-theme/images/icons/cilinks.svg\">",".md--justify-center > .w-20.md--mx-auto.not-prose","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
moderate,landmark-main-is-top-level,"Ensure the main landmark is at top level","Main landmark should not be contained in another landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-main-is-top-level?application=axeAPI","cat.semantics;best-practice","<main role=\"main\" aria-label=\"Chat interface\">","#qa-bot,main[aria-label=\"Chat interface\"]","Fix any of the following:\n  The main landmark is contained in another landmark."
moderate,landmark-no-duplicate-main,"Ensure the document has at most one main landmark","Document should not have more than one main landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-no-duplicate-main?application=axeAPI","cat.semantics;best-practice","<main role=\"main\" class=\"\">","main","Fix any of the following:\n  Document has more than one main landmark"
moderate,landmark-unique,"Ensure landmarks are unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI","cat.semantics;best-practice","<nav class=\"menu universal\">","#universal-menus,.universal","Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"container\">","#header,.container","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"#main-content\" class=\"visually-hidden focusable skip-link\">\n      Skip to main content\n    </a>",".focusable","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"container prose\">",".layout-container > .prose.container","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"container\">","#footer,.container","Fix any of the following:\n  Some page content is not contained by landmarks"
