impact,id,description,help,helpUrl,tags,html,target,failureSummary
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img width=\"120\" height=\"120\" src=\"/themes/nect-theme/img/NSF_logo.svg\">","img[width=\"120\"]","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
moderate,landmark-unique,"Ensure landmarks are unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI","cat.semantics;best-practice","<nav class=\"navbar navbar-expand secondary-nav navbar-light bg-light \" id=\"secondaryNav\">","#secondaryNav","Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://incommon.org/federation/\">InCommon Federation</a>","p:nth-child(4) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://www.cilogon.org/privacy\">CILogon privacy policy</a>","p:nth-child(11) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://www.cilogon.org/\">CILogon</a>","a[href$=\"cilogon.org/\"]","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://access-ci.org/\">ACCESSI</a>","a[href$=\"access-ci.org/\"]","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://www.nsf.gov/awardsearch/showAward?AWD_ID=2138307\">2138307</a>","p:nth-child(13) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://support.google.com/tagmanager/answer/7157428\">terms of service</a>","p:nth-child(16) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://support.google.com/?hl=en-GB&amp;tid=111401120\">https://support.google.com/?hl=en-GB&amp;tid=111401120</a>","p:nth-child(31) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://developers.google.com/recaptcha/\">https://developers.google.com/recaptcha/</a>","p:nth-child(33) > a:nth-child(1)","Fix any of the following:\n  The link has insufficient color contrast of 2.76:1 with the surrounding text. (Minimum contrast is 3:1, link text: #ca1236, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
