impact,id,description,help,helpUrl,tags,html,target,failureSummary
serious,aria-prohibited-attr,"Ensure ARIA attributes are not prohibited for an element's role","Elements must only use permitted ARIA attributes","https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=axeAPI","cat.aria;wcag2a;wcag412;EN-301-549;EN-9.4.1.2","<div aria-live=\"polite\" aria-label=\"Bot response updates\" class=\"sr-only\" id=\"bot-live-region\"></div>",".embedded-qa-bot[data-initialized=\"true\"],#bot-live-region","Fix all of the following:\n  aria-label attribute cannot be used on a div with no valid role attribute."
serious,aria-prohibited-attr,"Ensure ARIA attributes are not prohibited for an element's role","Elements must only use permitted ARIA attributes","https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=axeAPI","cat.aria;wcag2a;wcag412;EN-301-549;EN-9.4.1.2","<div aria-live=\"polite\" aria-label=\"Bot response updates\" class=\"sr-only\" id=\"bot-live-region\"></div>","#qa-bot,#bot-live-region","Fix all of the following:\n  aria-label attribute cannot be used on a div with no valid role attribute."
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<div class=\"rcb-options\" style=\"cursor: pointer; color: rgb(26, 91, 110); border-color: rgb(26, 91, 110); background-color: rgb(255, 255, 255);\">Ask a question about ACCESS</div>",".embedded-qa-bot[data-initialized=\"true\"],.rcb-options:nth-child(1)","Fix any of the following:\n  Element has insufficient color contrast of 2.12 (foreground color: #8abac1, background color: #ffffff, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<div class=\"rcb-options\" style=\"cursor: pointer; color: rgb(26, 91, 110); border-color: rgb(26, 91, 110); background-color: rgb(255, 255, 255);\">Open a Help Ticket</div>",".embedded-qa-bot[data-initialized=\"true\"],.rcb-options:nth-child(2)","Fix any of the following:\n  Element has insufficient color contrast of 2.12 (foreground color: #8abac1, background color: #ffffff, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<div class=\"rcb-options\" style=\"cursor: pointer; color: rgb(26, 91, 110); border-color: rgb(26, 91, 110); background-color: rgb(255, 255, 255);\">Usage and performance of ACCESS resources (XDMoD)</div>",".embedded-qa-bot[data-initialized=\"true\"],.rcb-options:nth-child(3)","Fix any of the following:\n  Element has insufficient color contrast of 2.12 (foreground color: #8abac1, background color: #ffffff, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<div class=\"rcb-options\" style=\"cursor: pointer; color: rgb(26, 91, 110); border-color: rgb(26, 91, 110); background-color: rgb(255, 255, 255);\">Report a security issue</div>",".embedded-qa-bot[data-initialized=\"true\"],.rcb-options:nth-child(4)","Fix any of the following:\n  Element has insufficient color contrast of 2.12 (foreground color: #8abac1, background color: #ffffff, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
minor,empty-heading,"Ensure headings have discernible text","Headings should not be empty","https://dequeuniversity.com/rules/axe/4.10/empty-heading?application=axeAPI","cat.name-role-value;best-practice","<h3 class=\"text-center overflow-wrap-anywhere group-hover--text-md-teal uppercase\"></h3>",".border-dark-teal.hover--border-orange[href$=\"ondemand\"] > .uppercase","Fix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
minor,empty-heading,"Ensure headings have discernible text","Headings should not be empty","https://dequeuniversity.com/rules/axe/4.10/empty-heading?application=axeAPI","cat.name-role-value;best-practice","<h3 class=\"text-center overflow-wrap-anywhere group-hover--text-md-teal uppercase\"></h3>",".border-dark-teal.hover--border-orange[href$=\"pegasus\"] > .uppercase","Fix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
minor,empty-heading,"Ensure headings have discernible text","Headings should not be empty","https://dequeuniversity.com/rules/axe/4.10/empty-heading?application=axeAPI","cat.name-role-value;best-practice","<h3 class=\"text-center overflow-wrap-anywhere group-hover--text-md-teal uppercase\"></h3>",".border-dark-teal.hover--border-orange[href$=\"xdmod\"] > .uppercase","Fix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
serious,html-has-lang,"Ensure every HTML document has a lang attribute","<html> element must have a lang attribute","https://dequeuniversity.com/rules/axe/4.10/html-has-lang?application=axeAPI","cat.language;wcag2a;wcag311;TTv5;TT11.a;EN-301-549;EN-9.3.1.1;ACT","<html class=\"access-support page-node-6114 overflow-x-clip js\">","html","Fix any of the following:\n  The <html> element does not have a lang attribute"
