impact,id,description,help,helpUrl,tags,html,target,failureSummary
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a class=\"ccmnet\" href=\"/user/register/ccmnet/\">create a new account</a>","a[href$=\"ccmnet/\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"/google-signin\">phasing out Google login.</a>",".ccmnet > a[href$=\"google-signin\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<input class=\"btn btn-success m-1 button js-form-submit form-submit btn btn-primary\" data-drupal-selector=\"edit-submit\" type=\"submit\" id=\"edit-submit\" name=\"op\" value=\"Log in\">",".btn-success","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #ffffff, background color: #06a9e5, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"/login?redirect=\" class=\"button btn btn-primary\">Login with Access CI</a>","a[href=\"/login?redirect=\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #ffffff, background color: #06a9e5, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://identity.access-ci.org/\">Having trouble logging in?</a>","#cilogon-auth-login-suffix > a:nth-child(1)","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://identity.access-ci.org/new-user\">Create an account</a>","#cilogon-auth-login-suffix > a:nth-child(2)","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://new.nsf.gov/funding/opportunities/research-coordination-networks-fostering-nurturing/nsf22-558/solicitation\">RCN:CIP solicitation</a>",".text-left:nth-child(1) > a","Fix any of the following:\n  Element has insufficient color contrast of 4.38 (foreground color: #06a9e5, background color: #04376f, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://dl.acm.org/doi/pdf/10.1145/3507694\">Transforming Science through Cyberinfrastructure</a>",".text-left:nth-child(3) > a","Fix any of the following:\n  Element has insufficient color contrast of 4.38 (foreground color: #06a9e5, background color: #04376f, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1"
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img width=\"82\" height=\"82\" src=\"/themes/contrib/asp-theme/images/logos/NSF_logo.svg\">",".container > div:nth-child(1) > .nsf-logo[href$=\"nsf.gov/\"][rel=\"noopener\"] > img[width=\"82\"][height=\"82\"]","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img width=\"82\" height=\"82\" src=\"/themes/nect-theme/img/NSF_logo.svg\">",".col-2 > .nsf-logo[href$=\"nsf.gov/\"][rel=\"noopener\"] > img[width=\"82\"][height=\"82\"]","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
moderate,landmark-one-main,"Ensure the document has a main landmark","Document should have one main landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI","cat.semantics;best-practice","<html lang=\"en\" dir=\"ltr\" class=\" js\">","html","Fix all of the following:\n  Document does not have a main landmark"
moderate,landmark-unique,"Ensure landmarks are unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI","cat.semantics;best-practice","<nav class=\"navbar navbar-expand secondary-nav navbar-light bg-light \" id=\"secondaryNav\">","#secondaryNav","Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://new.nsf.gov/funding/opportunities/research-coordination-networks-fostering-nurturing/nsf22-558/solicitation\">RCN:CIP solicitation</a>",".text-left:nth-child(1) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.68:1 with the surrounding text. (Minimum contrast is 3:1, link text: #06a9e5, surrounding text: #ffffff)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://dl.acm.org/doi/pdf/10.1145/3507694\">Transforming Science through Cyberinfrastructure</a>",".text-left:nth-child(3) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.68:1 with the surrounding text. (Minimum contrast is 3:1, link text: #06a9e5, surrounding text: #ffffff)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
